Topic,Count,Name,Representation
0,2,Topic_0,"bert, nlp, scale, models, deploy, gpt, preprocessing, deep, learning, language"
1,6,Topic_1,"infrastructure, terraform, model, monitoring, scripting, linux, ml, grafana, cd, ci"
2,4,Topic_2,"data, testing, statistical, tableau, analysis, skills, pandas, bi, power, dashboards"
3,3,Topic_3,"data, streaming, dbt, snowflake, etl, bigquery, pipeline, kafka, warehouse, pyspark"
4,3,Topic_4,"image, object, detection, optimization, cnn, vision, computer, deployment, tensorflow, systems"
5,3,Topic_5,"design, backend, api, postgresql, server, java, message, restful, microservices, services"
6,3,Topic_6,"ai, langchain, rag, transformers, experience, pinecone, faiss, vector, langgraph, agentic"
7,2,Topic_7,"models, using, learning, work, experience, machine, teams, recommendation, collaborate, scikit"
8,4,Topic_8,"classification, text, sentiment, understanding, model, analysis, recognition, features, llm, nlp"
9,3,Topic_9,"modeling, feature, engineering, lightgbm, xgboost, learn, scikit, matplotlib, techniques, insights"
